COD_NA64,Desc_lbl_fr,Desc_lbl_en,Desc_lbl_pt
AZ1,"Culture et production animale, chasse et services annexes",,
AZ2,Sylviculture et exploitation forestière,,
AZ3,Pêche et aquaculture,,
BZ0,Industries extractives,,
CA0,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",,
CB0,"Fabrication de textiles, industrie de l’habillement, industrie du cuir et de la chaussure",,
CC1,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",,
CC2,Industrie du papier et du carton,,
CC3,Imprimerie et reproduction d'enregistrements,,
CD0,Cokéfaction et raffinage,,
CE0,Industrie chimique,,
CF0,Industrie pharmaceutique,,
CG1,Fabrication de produits en caoutchouc et en plastique,,
CG2,Fabrication d'autres produits minéraux non métalliques,,
CH1,Métallurgie,,
CH2,"Fabrication de produits métalliques, à l'exception des machines et des équipements",,
CI0,"Fabrication de produits informatiques, électroniques et optiques",,
CJ0,Fabrication d'équipements électriques,,
CK0,Fabrication de machines et équipements n.c.a.,,
CL1,Industrie automobile,,
CL2,Fabrication d'autres matériels de transport,,
CM1,Autres industries manufacturières n.c.a.,,
CM2,Réparation et installation de machines et d'équipements,,
DZ0,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,
EZ1,"Captage, traitement et distribution d'eau",,
EZ2,"Collecte et traitement des eaux usées, traitement des déchets et dépollution",,
FZ0,Construction,,
GZ1,Commerce et réparation d'automobiles et de motocycles,,
GZ2,"Commerce de gros, à l'exception des automobiles et des motocycles",,
GZ3,"Commerce de détail, à l'exception des automobiles et des motocycles",,
HZ1,Transports terrestres et transport par conduites,,
HZ2,Transports par eau,,
HZ3,Transports aériens,,
HZ4,Entreposage et services auxiliaires des transports,,
HZ5,Activités de poste et de courrier,,
IZ0,Hébergement et restauration,,
JA1,Edition,,
JA2,"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale ; programmation et diffusion",,
JB0,Télécommunications,,
JC0,"Programmation, conseil et autres activités informatiques ; services d'information",,
KZ1,"Activités des services financiers, hors assurance et caisses de retraite",,
KZ2,Assurance,,
KZ3,Activités auxiliaires de services financiers et d'assurance,,
LZ0,Activités immobilières,,
MA1,Activités juridiques et comptables ; conseil de gestion ; activités des sièges sociaux,,
MA2,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,,
MB0,Recherche-développement scientifique,,
MC1,Publicité et études de marché,,
MC2,"Autres activités spécialisées, scientifiques et techniques et activités vétérinaires",,
NZ1,Activités de location et location-bail,,
NZ2,Activités liées à l'emploi,,
NZ3,"Activités des agences de voyage, voyagistes, services de réservation et activités connexes",,
NZ4,Enquêtes et sécurité ; services relatifs aux bâtiments et aménagement paysager ; autres activités de soutien,,
OZ0,Administration publique et défense ; sécurité sociale obligatoire,,
PZ0,Enseignement,,
QA0,Activités pour la santé humaine,,
QB0,Hébergement médico-social et social et action sociale sans hébergement,,
RZ1,"Arts, divertissement et musées",,
RZ2,"Activités sportives, récréatives et de loisirs",,
SZ1,Activités des organisations associatives,,
SZ2,Réparation d'ordinateurs et de biens personnels et domestiques,,
SZ3,Autres services personnels,,
TZ0,Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre,,
UZ0,Activités des organisations et organismes extraterritoriaux,,
